,player_id,player_url,Player,From,To,Pos,Ht,Wt,Birth Date,College
5,abdursh01,http://www.basketball-reference.com/players/a/abdursh01.html,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California
10,ackeral01,http://www.basketball-reference.com/players/a/ackeral01.html,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University
14,acyqu01,http://www.basketball-reference.com/players/a/acyqu01.html,Quincy Acy,2013,2017,F,6-7,240,"October 6, 1990",Baylor University
18,adamsha01,http://www.basketball-reference.com/players/a/adamsha01.html,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona
19,adamsjo01,http://www.basketball-reference.com/players/a/adamsjo01.html,Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles"
21,adamsst01,http://www.basketball-reference.com/players/a/adamsst01.html,Steven Adams,2014,2017,C,7-0,255,"July 20, 1993",University of Pittsburgh
24,adrieje01,http://www.basketball-reference.com/players/a/adrieje01.html,Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut
25,afflaar01,http://www.basketball-reference.com/players/a/afflaar01.html,Arron Afflalo,2008,2017,G,6-5,210,"October 15, 1985","University of California, Los Angeles"
26,agerma01,http://www.basketball-reference.com/players/a/agerma01.html,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University
28,ahearbl01,http://www.basketball-reference.com/players/a/ahearbl01.html,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University
31,ajincal01,http://www.basketball-reference.com/players/a/ajincal01.html,Alexis Ajinca,2009,2017,C,7-2,248,"May 6, 1988",
33,akognjo01,http://www.basketball-reference.com/players/a/akognjo01.html,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton"
34,alabiso01,http://www.basketball-reference.com/players/a/alabiso01.html,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University
37,aldemfu01,http://www.basketball-reference.com/players/a/aldemfu01.html,Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",
38,aldrico01,http://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,2011,2017,C,6-11,250,"October 31, 1988",University of Kansas
39,aldrila01,http://www.basketball-reference.com/players/a/aldrila01.html,LaMarcus Aldridge,2007,2017,F-C,6-11,260,"July 19, 1985",University of Texas at Austin
45,alexajo01,http://www.basketball-reference.com/players/a/alexajo01.html,Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University
51,allenla01,http://www.basketball-reference.com/players/a/allenla01.html,Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple University
53,allenma01,http://www.basketball-reference.com/players/a/allenma01.html,Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova University
55,allenra02,http://www.basketball-reference.com/players/a/allenra02.html,Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut
56,allento01,http://www.basketball-reference.com/players/a/allento01.html,Tony Allen,2005,2017,G-F,6-4,213,"January 11, 1982",Oklahoma State University
59,allrela01,http://www.basketball-reference.com/players/a/allrela01.html,Lance Allred,2008,2008,C,6-11,250,"February 2, 1981",Weber State University
61,almonmo01,http://www.basketball-reference.com/players/a/almonmo01.html,Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University
63,alstora01,http://www.basketball-reference.com/players/a/alstora01.html,Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno"
