,player_id,Season,Team,Lg,Salary
0,abdursh01,1996-97,Vancouver Grizzlies,NBA,"$2,186,000"
1,abdursh01,1999-00,Vancouver Grizzlies,NBA,"$9,000,000"
2,abdursh01,2000-01,Vancouver Grizzlies,NBA,"$10,130,000"
3,abdursh01,2001-02,Atlanta Hawks,NBA,"$11,250,000"
4,abdursh01,2002-03,Atlanta Hawks,NBA,"$12,375,000"
5,abdursh01,2003-04,Atlanta Hawks,NBA,"$13,500,000"
6,abdursh01,2004-05,Portland Trail Blazers,NBA,"$14,625,000"
7,abdursh01,2005-06,Sacramento Kings,NBA,"$5,000,000"
8,abdursh01,2006-07,Sacramento Kings,NBA,"$5,400,000"
9,abdursh01,2007-08,Sacramento Kings,NBA,"$5,800,000"
10,abdursh01,2009-10,Sacramento Kings,NBA,"$6,600,000"
11,ackeral01,2005-06,Detroit Pistons,NBA,"$398,762"
12,ackeral01,2006-07,Detroit Pistons,NBA,"$839,209"
13,ackeral01,2008-09,Los Angeles Clippers,NBA,"$711,517"
14,acyqu01,2012-13,Toronto Raptors,NBA,"$665,000"
15,acyqu01,2013-14,Toronto Raptors,NBA,"$788,872"
16,acyqu01,2014-15,New York Knicks,NBA,"$915,243"
17,acyqu01,2015-16,Sacramento Kings,NBA,"$981,348"
18,adamsha01,2006-07,New Jersey Nets,NBA,"$412,718"
19,adamsha01,2008-09,Los Angeles Clippers,NBA,"$297,163"
20,adamsjo01,2014-15,Memphis Grizzlies,NBA,"$1,344,120"
21,adamsjo01,2015-16,Memphis Grizzlies,NBA,"$1,404,600"
22,adamsst01,2013-14,Oklahoma City Thunder,NBA,"$2,090,880"
23,adamsst01,2014-15,Oklahoma City Thunder,NBA,"$2,184,960"
24,adamsst01,2015-16,Oklahoma City Thunder,NBA,"$2,279,040"
25,adrieje01,2010-11,Golden State Warriors,NBA,"$342,666"
26,adrieje01,2011-12,Houston Rockets,NBA,"$270,427"
27,adrieje01,2012-13,Charlotte Bobcats,NBA,"$804,131"
28,adrieje01,2013-14,Charlotte Bobcats,NBA,"$916,099"
29,adrieje01,2014-15,Houston Rockets,NBA,"$981,084"
30,afflaar01,2007-08,Detroit Pistons,NBA,"$944,520"
31,afflaar01,2008-09,Detroit Pistons,NBA,"$1,015,440"
32,afflaar01,2009-10,Denver Nuggets,NBA,"$1,086,240"
33,afflaar01,2010-11,Denver Nuggets,NBA,"$1,959,577"
34,afflaar01,2011-12,Denver Nuggets,NBA,"$7,562,500"
35,afflaar01,2012-13,Orlando Magic,NBA,"$7,750,000"
36,afflaar01,2013-14,Orlando Magic,NBA,"$7,312,500"
37,afflaar01,2014-15,Portland Trail Blazers,NBA,"$7,750,000"
38,afflaar01,2015-16,New York Knicks,NBA,"$8,000,000"
39,agerma01,2006-07,Dallas Mavericks,NBA,"$906,480"
40,agerma01,2007-08,New Jersey Nets,NBA,"$974,400"
41,agerma01,2008-09,New Jersey Nets,NBA,"$1,042,440"
42,agerma01,2010-11,Minnesota Timberwolves,NBA,"$83,305"
43,ahearbl01,2008-09,San Antonio Spurs,NBA,"$125,562"
44,ajincal01,2008-09,Charlotte Bobcats,NBA,"$1,276,320"
45,ajincal01,2009-10,Charlotte Bobcats,NBA,"$1,372,080"
46,ajincal01,2010-11,Toronto Raptors,NBA,"$1,467,840"
47,ajincal01,2014-15,New Orleans Pelicans,NBA,"$981,084"
48,ajincal01,2015-16,New Orleans Pelicans,NBA,"$4,300,000"
49,akognjo01,2013-14,Memphis Grizzlies,NBA,"$788,872"
50,alabiso01,2010-11,Toronto Raptors,NBA,"$770,000"
51,alabiso01,2011-12,Toronto Raptors,NBA,"$830,000"
52,aldemfu01,2014-15,Philadelphia 76ers,NBA,"$3,000,000"
53,aldemfu01,2015-16,Philadelphia 76ers,NBA,"$3,000,000"
54,aldrico01,2010-11,Oklahoma City Thunder,NBA,"$2,126,520"
55,aldrico01,2011-12,Oklahoma City Thunder,NBA,"$2,286,000"
56,aldrico01,2012-13,Sacramento Kings,NBA,"$2,445,480"
57,aldrico01,2014-15,New York Knicks,NBA,"$981,084"
58,aldrico01,2015-16,Los Angeles Clippers,NBA,"$1,100,600"
59,aldrila01,2006-07,Portland Trail Blazers,NBA,"$4,027,320"
60,aldrila01,2007-08,Portland Trail Blazers,NBA,"$4,329,360"
61,aldrila01,2008-09,Portland Trail Blazers,NBA,"$4,631,400"
62,aldrila01,2009-10,Portland Trail Blazers,NBA,"$5,844,827"
63,aldrila01,2010-11,Portland Trail Blazers,NBA,"$11,244,000"
64,aldrila01,2011-12,Portland Trail Blazers,NBA,"$12,372,000"
65,aldrila01,2012-13,Portland Trail Blazers,NBA,"$13,500,000"
66,aldrila01,2013-14,Portland Trail Blazers,NBA,"$14,128,000"
67,aldrila01,2014-15,Portland Trail Blazers,NBA,"$16,006,000"
68,aldrila01,2015-16,San Antonio Spurs,NBA,"$19,500,000"
69,alexajo01,2008-09,Milwaukee Bucks,NBA,"$2,403,120"
70,alexajo01,2009-10,Chicago Bulls,NBA,"$2,583,360"
71,alexajo01,2010-11,New Orleans Hornets,NBA,"$90,465"
72,allenla01,2011-12,Philadelphia 76ers,NBA,"$473,604"
73,allenla01,2012-13,Philadelphia 76ers,NBA,"$3,000,000"
74,allenla01,2013-14,Philadelphia 76ers,NBA,"$3,060,000"
75,allenla01,2014-15,Indiana Pacers,NBA,"$948,163"
76,allenla01,2015-16,Indiana Pacers,NBA,"$3,700,000"
77,allenma01,2001-02,Miami Heat,NBA,"$332,817"
78,allenma01,2002-03,Miami Heat,NBA,"$512,435"
79,allenma01,2003-04,Miami Heat,NBA,"$1,510,000"
80,allenma01,2004-05,Miami Heat,NBA,"$1,950,625"
81,allenma01,2005-06,Chicago Bulls,NBA,"$1,670,000"
82,allenma01,2006-07,Chicago Bulls,NBA,"$1,803,600"
83,allenma01,2007-08,Dallas Mavericks,NBA,"$998,398"
84,allenma01,2008-09,Milwaukee Bucks,NBA,"$1,300,000"
85,allenma01,2009-10,Denver Nuggets,NBA,"$1,300,000"
86,allenma01,2010-11,Orlando Magic,NBA,"$1,229,255"
87,allenra02,1996-97,Milwaukee Bucks,NBA,"$1,785,000"
